WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
0314,3,14,SEPTEMBER,9,"20,21"
0906,9,6,OCTOBER,10,"15,16"
0110,1,10,AUGUST,8,"20,27"
0107,1,7,APRIL,4,"24,25"
0406,4,6,JULY,7,"13,16"
0901,9,1,MAY,5,31
0609,6,9,AUGUST,8,"22,23"
0803,8,3,OCTOBER,10,"19,22"
0206,2,6,MAY,5,"4,7,24,25"
0201,2,1,JULY,7,"11,12,31"
0305,3,5,OCTOBER,10,"10,11"
0816,8,16,JULY,7,"2,3"
0108,1,8,MAY,5,"24,25"
0613,6,13,MAY,5,"4,7"
0903,9,3,JUNE,6,"6,7"
0608,6,8,AUGUST,8,"20,21"
0205,2,5,SEPTEMBER,9,"20,21"
0204,2,4,JULY,7,"19,201"
0101,1,1,JULY,7,3
0812,8,12,NOVEMBER,11,"14,15"
0701,7,1,AUGUST,8,"16,17"
0910,9,10,APRIL,4,"26,27"
0805,8,5,JUNE,6,1
0709,7,9,JUNE,6,"8,11"
0209,2,9,SEPTEMBER,9,"6,7"
0201,2,1,MAY,5,"10,11,31"
0506,5,6,SEPTEMBER,9,"17,18"
0507,5,7,JULY,7,"3,6"
0405,4,5,OCTOBER,10,"5,10"
0501,5,1,JUNE,6,"15,18"
0204,2,4,SEPTEMBER,9,"18,19"
0208,2,8,AUGUST,8,"1,7,8,14,15,21,22,28,29"
0912,9,12,JULY,7,"2,3"
0709,7,9,SEPTEMBER,9,"10,11"
0413,4,13,MAY,5,"4,7"
0805,8,5,OCTOBER,10,"25,26"
0312,3,12,MAY,5,"3,4"
0913,9,13,JULY,7,"5,6"
0412,4,12,SEPTEMBER,9,"13,14"
0408,4,8,JULY,7,"19,20"
0206,2,6,JUNE,6,"14,15"
0413,4,13,AUGUST,8,"2,3"
0901,9,1,AUGUST,8,1
0509,5,9,AUGUST,8,"16,17"
0601,6,1,MAY,5,"10,11"
0108,1,8,SEPTEMBER,9,"27,28"
0915,9,15,JULY,7,"11,12"
0501,5,1,OCTOBER,10,"11,12"
0503,5,3,APRIL,4,"6,9"
0805,8,5,MAY,5,31
0502,5,2,SEPTEMBER,9,"5,6"
0401,4,1,MAY,5,"14,15"
0306,3,6,AUGUST,8,"27,28"
0601,6,1,OCTOBER,10,"19,22"
0703,7,3,AUGUST,8,"22,23"
0202,2,2,NOVEMBER,11,"14,15"
0506,5,6,OCTOBER,10,"25,26"
0806,8,6,JULY,7,"23,24"
0507,5,7,MAY,5,"24,25"
0812,8,12,MAY,5,"2,3"
0902,9,2,AUGUST,8,"2,3"
0614,6,14,SEPTEMBER,9,"6,7"
0605,6,5,SEPTEMBER,9,"20,21"
0106,1,6,NOVEMBER,11,"15,16"
0314,3,14,AUGUST,8,"7,8"
0104,1,4,JUNE,6,"8,9"
0310,3,10,JULY,7,"26,27"
0103,1,3,JUNE,6,"12,13"
0413,4,13,JUNE,6,"19,20"
0612,6,12,OCTOBER,10,"11,12"
0508,5,8,JULY,7,"9,10"
0810,8,10,NOVEMBER,11,"8,9"
0610,6,10,OCTOBER,10,"4,5"
0917,9,17,NOVEMBER,11,"14,15"
0809,8,9,AUGUST,8,1
0707,7,7,SEPTEMBER,9,"4,5"
1010,10,10,APRIL,4,"26,27"
1010,10,10,JUNE,6,"14,15"
1010,10,10,AUGUST,8,"2,3"
1010,10,10,SEPTEMBER,9,"20,21"
1010,10,10,NOVEMBER,11,"8,9"
1011,10,11,APRIL,4,30
1011,10,11,MAY,5,1
1011,10,11,JUNE,6,"18,19"
1011,10,11,AUGUST,8,"6,7"
1011,10,11,SEPTEMBER,9,"24,25"
1011,10,11,NOVEMBER,11,"12,13"
1012,10,12,MAY,5,"2,3"
1012,10,12,JUNE,6,"20,21"
1012,10,12,AUGUST,8,"8,9"
1012,10,12,SEPTEMBER,9,"26,27"
1012,10,12,NOVEMBER,11,"14,15"
1013,10,13,MAY,5,"4,7"
1013,10,13,JUNE,6,"22,25"
1013,10,13,AUGUST,8,"10,13"
1013,10,13,SEPTEMBER,9,28
1013,10,13,OCTOBER,10,1
1013,10,13,NOVEMBER,11,16
1014,10,14,MAY,5,"8,9"
1014,10,14,JUNE,6,"26,27"
1014,10,14,AUGUST,8,"14,15"
1014,10,14,OCTOBER,10,"2,3"
1015,10,15,MAY,5,"10,11"
1015,10,15,JUNE,6,"28,29"
1015,10,15,AUGUST,8,"16,17"
1015,10,15,OCTOBER,10,"4,5"
1016,10,16,MAY,5,"14,15"
1016,10,16,JULY,7,"2,3"
1016,10,16,AUGUST,8,"20,21"
1016,10,16,OCTOBER,10,"9,10"
1017,10,17,MAY,5,"16,17"
1017,10,17,JULY,7,"5,6"
1017,10,17,AUGUST,8,"22,23"
1017,10,17,OCTOBER,10,"11,12"
4105,41,5,MAY,5,"8,9"
1110,11,10,MAY,5,"8,9"
1110,11,10,JUNE,6,"22,25"
1110,11,10,AUGUST,8,"8,9"
1110,11,10,SEPTEMBER,9,"24,25"
1110,11,10,NOVEMBER,11,"8,9"
1111,11,11,MAY,5,"10,11"
1111,11,11,JUNE,6,"26,27"
1111,11,11,AUGUST,8,"10,13"
1111,11,11,SEPTEMBER,9,"26,27"
1111,11,11,NOVEMBER,11,"12,13"
1112,11,12,MAY,5,"14,15"
1112,11,12,JUNE,6,"28,29"
1112,11,12,AUGUST,8,"14,15"
1112,11,12,SEPTEMBER,9,28
1112,11,12,OCTOBER,10,1
1112,11,12,NOVEMBER,11,"14,15"
1210,12,10,APRIL,4,"26,27"
1210,12,10,MAY,5,"24,25"
1210,12,10,JUNE,6,"22,25"
1210,12,10,JULY,7,"23,24"
1210,12,10,AUGUST,8,"20,21"
1210,12,10,SEPTEMBER,9,"18,19"
1210,12,10,OCTOBER,10,"17,18"
1210,12,10,NOVEMBER,11,"15,16"
1310,13,10,APRIL,4,"26,27"
1310,13,10,JULY,7,"13,16"
1310,13,10,SEPTEMBER,9,28
1310,13,10,OCTOBER,10,1
1311,13,11,APRIL,4,30
1311,13,11,MAY,5,1
1311,13,11,JULY,7,"17,18"
1311,13,11,OCTOBER,10,"2,3"
1312,13,12,MAY,5,"2,3"
1312,13,12,JULY,7,"19,20"
1312,13,12,OCTOBER,10,"4,5"
1313,13,13,MAY,5,"4,7"
1313,13,13,JULY,7,"23,24"
1313,13,13,OCTOBER,10,"9,10"
1314,13,14,MAY,5,"8,9"
1314,13,14,JULY,7,"25,26"
1314,13,14,OCTOBER,10,"11,12"
1315,13,15,MAY,5,"10,11"
1315,13,15,JULY,7,"27,30"
1315,13,15,OCTOBER,10,"15,16"
1316,13,16,MAY,5,"14,15"
1316,13,16,JULY,7,31
1316,13,16,AUGUST,8,1
1316,13,16,OCTOBER,10,"17,18"
1317,13,17,MAY,5,"16,17"
1317,13,17,AUGUST,8,"2,3"
1317,13,17,OCTOBER,10,"19,22"
1318,13,18,MAY,5,"18,21"
1318,13,18,AUGUST,8,"6,7"
1318,13,18,OCTOBER,10,"23,24"
1319,13,19,MAY,5,"22,23"
1319,13,19,AUGUST,8,"8,9"
1319,13,19,OCTOBER,10,"25,26"
1320,13,20,MAY,5,"24,25"
1320,13,20,AUGUST,8,"10,13"
1320,13,20,OCTOBER,10,"29,30"
1321,13,21,MAY,5,"29,30"
1321,13,21,AUGUST,8,"14,15"
1321,13,21,OCTOBER,10,31
1321,13,21,NOVEMBER,11,1
1322,13,22,MAY,5,31
1322,13,22,JUNE,6,1
1322,13,22,AUGUST,8,"16,17"
1322,13,22,NOVEMBER,11,"2,5"
1323,13,23,JUNE,6,"4,5"
1323,13,23,AUGUST,8,"20,21"
1323,13,23,NOVEMBER,11,"6,7"
1324,13,24,JUNE,6,"6,7"
1324,13,24,AUGUST,8,"22,23"
1324,13,24,NOVEMBER,11,"8,9"
1325,13,25,JUNE,6,"8,11"
1325,13,25,AUGUST,8,"24,27"
1325,13,25,NOVEMBER,11,"12,13"
1326,13,26,JUNE,6,"12,13"
1326,13,26,AUGUST,8,"28,29"
1326,13,26,NOVEMBER,11,"14,15"
1327,13,27,JUNE,6,"14,15"
1327,13,27,AUGUST,8,"30,31"
1327,13,27,NOVEMBER,11,"15,16"
1410,14,10,APRIL,4,"26,27"
1410,14,10,JUNE,6,"12,13"
1410,14,10,JULY,7,"27,30"
1410,14,10,SEPTEMBER,9,"12,13"
1410,14,10,OCTOBER,10,"29,30"
1411,14,11,APRIL,4,11
1411,14,11,MAY,5,1
1411,14,11,JUNE,6,"14,15"
1411,14,11,JULY,7,31
1411,14,11,AUGUST,8,1
1411,14,11,SEPTEMBER,9,"14,17"
1411,14,11,OCTOBER,10,31
1411,14,11,NOVEMBER,11,1
1412,14,12,MAY,5,"2,3"
1412,14,12,JUNE,6,"18,19"
1412,14,12,AUGUST,8,"2,3"
1412,14,12,SEPTEMBER,9,"18,19"
1412,14,12,NOVEMBER,11,"2,5"
1413,14,13,MAY,5,"4,7"
1413,14,13,JUNE,6,"20,21"
1413,14,13,AUGUST,8,"6,7"
1413,14,13,SEPTEMBER,9,"20,21"
1413,14,13,NOVEMBER,11,"6,7"
1414,14,14,MAY,5,"8,9"
1414,14,14,JUNE,6,"22,25"
1414,14,14,AUGUST,8,"8,9"
1414,14,14,SEPTEMBER,9,"24,25"
1414,14,14,NOVEMBER,11,"8,9"
1415,14,15,MAY,5,"10,11"
1415,14,15,JUNE,6,"26,27"
1415,14,15,AUGUST,8,"10,13"
1415,14,15,SEPTEMBER,9,"26,27"
1415,14,15,NOVEMBER,11,"12,13"
1416,14,16,MAY,5,"14,15"
1416,14,16,JUNE,6,"28,29"
1416,14,16,AUGUST,8,"14,15"
1416,14,16,SEPTEMBER,9,28
1416,14,16,OCTOBER,10,1
1416,14,16,NOVEMBER,11,"14,15"
1510,15,10,APRIL,4,"26,27"
1510,15,10,MAY,5,"24,25"
1510,15,10,JUNE,6,"22,25"
1510,15,10,JULY,7,"23,24"
1510,15,10,AUGUST,8,"20,21"
1510,15,10,SEPTEMBER,9,"18,19"
1510,15,10,OCTOBER,10,"17,18"
1510,15,10,NOVEMBER,11,"14,15"
1610,16,10,APRIL,4,"26,27"
1610,16,10,JUNE,6,"4,5"
1610,16,10,JULY,7,"11,12"
1610,16,10,AUGUST,8,"16,17"
1610,16,10,SEPTEMBER,9,"24,25"
1610,16,10,OCTOBER,10,31
1610,16,10,NOVEMBER,11,1
1611,16,11,APRIL,4,30
1611,16,11,MAY,5,1
1611,16,11,JUNE,6,"6,7"
1611,16,11,JULY,7,"13,16"
1611,16,11,AUGUST,8,"20,21"
1611,16,11,SEPTEMBER,9,"26,27"
1611,16,11,NOVEMBER,11,"2,5"
1612,16,12,MAY,5,"2,3"
1612,16,12,JUNE,6,"8,11"
1612,16,12,JULY,7,"17,18"
1612,16,12,AUGUST,8,"22,23"
1612,16,12,SEPTEMBER,9,28
1612,16,12,OCTOBER,10,1
1612,16,12,NOVEMBER,11,"6,7"
1613,16,13,MAY,5,"4,7"
1613,16,13,JUNE,6,"12,13"
1613,16,13,JULY,7,"19,20"
1613,16,13,AUGUST,8,"24,27"
1613,16,13,OCTOBER,10,"2,3"
1613,16,13,NOVEMBER,11,"8,9"
1710,17,10,APRIL,4,"26,27"
1710,17,10,JUNE,6,"22,25"
1710,17,10,AUGUST,8,"20,21"
1710,17,10,OCTOBER,10,"17,18"
1711,17,11,APRIL,4,30
1711,17,11,MAY,5,1
1711,17,11,JUNE,6,"26,27"
1711,17,11,AUGUST,8,"22,23"
1711,17,11,OCTOBER,10,"19,22"
1712,17,12,MAY,5,"2,3"
1712,17,12,JUNE,6,"28,29"
1712,17,12,AUGUST,8,"24,27"
1712,17,12,OCTOBER,10,"23,24"
1713,17,13,MAY,5,"4,7"
1713,17,13,JULY,7,"2,3"
1713,17,13,AUGUST,8,"28,29"
1713,17,13,OCTOBER,10,"25,26"
1714,17,14,MAY,5,"8,9"
1714,17,14,JULY,7,"5,6"
1714,17,14,AUGUST,8,"30,31"
1714,17,14,OCTOBER,10,"29,30"
1715,17,15,MAY,5,"10,11"
1715,17,15,JULY,7,"9,10"
1715,17,15,SEPTEMBER,9,"4,5"
1715,17,15,OCTOBER,10,31
1715,17,15,NOVEMBER,11,1
1716,17,16,MAY,5,"14,15"
1716,17,16,JULY,7,"11,12"
1716,17,16,SEPTEMBER,9,"6,7"
1716,17,16,NOVEMBER,11,"2,5"
1717,17,17,MAY,5,"16,17"
1717,17,17,JULY,7,"13,16"
1717,17,17,SEPTEMBER,9,"10,11"
1717,17,17,NOVEMBER,11,"6,7"
1718,17,18,MAY,5,"18,21"
1718,17,18,JULY,7,"17,18"
1718,17,18,SEPTEMBER,9,"12,13"
1718,17,18,NOVEMBER,11,"8,9"
1719,17,19,MAY,5,"22,23"
1719,17,19,JULY,7,"19,20"
1719,17,19,SEPTEMBER,9,"14,17"
1719,17,19,NOVEMBER,11,"12,13"
1720,17,20,MAY,5,"24,25"
1720,17,20,JULY,7,"23,24"
1720,17,20,SEPTEMBER,9,"18,19"
1720,17,20,NOVEMBER,11,"14,15"
1810,18,10,APRIL,4,"20,23"
1810,18,10,JUNE,6,"18,19"
1810,18,10,JULY,7,"27,30"
1810,18,10,SEPTEMBER,9,28
1810,18,10,OCTOBER,10,1
1811,18,11,APRIL,4,"26,27"
1811,18,11,JUNE,6,"14,15"
1811,18,11,AUGUST,8,"6,7"
1811,18,11,SEPTEMBER,9,"4,5"
1812,18,12,MAY,5,"8,9"
1812,18,12,JUNE,6,"26,27"
1812,18,12,AUGUST,8,"22,23"
1812,18,12,OCTOBER,10,"2,3"
1813,18,13,MAY,5,"18,21"
1813,18,13,JULY,7,"11,12"
1813,18,13,AUGUST,8,"30,31"
1813,18,13,OCTOBER,10,"23,24"
1814,18,14,MAY,5,"16,17"
1814,18,14,JULY,7,"2,3"
1814,18,14,AUGUST,8,"28,29"
1814,18,14,OCTOBER,10,"17,18"
1815,18,15,MAY,5,"14,15"
1815,18,15,JULY,7,"5,6"
1815,18,15,AUGUST,8,"24,27"
1815,18,15,OCTOBER,10,"9,10"
1816,18,16,MAY,5,"4,7"
1816,18,16,JUNE,6,"9,10"
1816,18,16,AUGUST,8,"16,17"
1816,18,16,OCTOBER,10,"19,22"
1817,18,17,MAY,5,"10,11"
1817,18,17,AUGUST,8,"28,29"
1817,18,17,OCTOBER,10,"15,16"
1818,18,18,APRIL,4,30
1818,18,18,MAY,5,1
1818,18,18,JUNE,6,"22,25"
1818,18,18,AUGUST,8,"10,13"
1818,18,18,OCTOBER,10,"11,12"
1910,19,10,APRIL,4,"26,27"
1910,19,10,JULY,7,"9,10"
1910,19,10,SEPTEMBER,9,"18,19"
1910,19,10,NOVEMBER,11,"16,19"
1911,19,11,APRIL,4,30
1911,19,11,MAY,5,1
1911,19,11,JULY,7,"11,12"
1911,19,11,SEPTEMBER,9,"20,21"
1912,19,12,MAY,5,"2,3"
1912,19,12,JULY,7,"13,16"
1912,19,12,SEPTEMBER,9,"24,25"
1913,19,13,MAY,5,"4,7"
1913,19,13,JULY,7,"17,18"
1913,19,13,SEPTEMBER,9,"26,27"
1914,19,14,MAY,5,"8,9"
1914,19,14,JULY,7,"19,20"
1914,19,14,SEPTEMBER,9,28
1914,19,14,OCTOBER,10,1
1915,19,15,MAY,5,"10,11"
1915,19,15,JULY,7,"23,24"
1915,19,15,OCTOBER,10,"2,3"
1916,19,16,MAY,5,"14,15"
1916,19,16,JULY,7,"25,26"
1916,19,16,OCTOBER,10,"4,5"
1917,19,17,MAY,5,"16,17"
1917,19,17,JULY,7,"27,30"
1917,19,17,OCTOBER,10,"9,10"
1918,19,18,MAY,5,"18,21"
1918,19,18,JULY,7,31
1918,19,18,AUGUST,8,1
1918,19,18,OCTOBER,10,"11,12"
1919,19,19,MAY,5,"22,23"
1919,19,19,AUGUST,8,"2,3"
1919,19,19,OCTOBER,10,"15,16"
1920,19,20,MAY,5,"24,25"
1920,19,20,AUGUST,8,"6,7"
1920,19,20,OCTOBER,10,"17,18"
1921,19,21,MAY,5,"29,30"
1921,19,21,AUGUST,8,"8,9"
1921,19,21,OCTOBER,10,"19,22"
1922,19,22,MAY,5,31
1922,19,22,JUNE,6,1
1922,19,22,AUGUST,8,"10,13"
1922,19,22,OCTOBER,10,"23,24"
1923,19,23,JUNE,6,"4,5"
1923,19,23,AUGUST,8,"14,15"
1923,19,23,OCTOBER,10,"25,26"
1924,19,24,JUNE,6,"6,7"
1924,19,24,AUGUST,8,"16,17"
1924,19,24,NOVEMBER,11,"29,30"
1925,19,25,JUNE,6,"8,11"
1925,19,25,AUGUST,8,"20,21"
1925,19,25,OCTOBER,10,31
1925,19,25,NOVEMBER,11,1
2010,20,10,APRIL,4,"27,30"
2010,20,10,JUNE,6,"14,15"
2010,20,10,AUGUST,8,"1,2"
2010,20,10,SEPTEMBER,9,"18,19"
2010,20,10,NOVEMBER,11,"5,6"
2011,20,11,MAY,5,"1,2"
2011,20,11,JUNE,6,"18,19"
2011,20,11,AUGUST,8,"3,6"
2011,20,11,SEPTEMBER,9,"20,21"
2011,20,11,NOVEMBER,11,"7,8"
2012,20,12,MAY,5,"3,4"
2012,20,12,JUNE,6,"20,21"
2012,20,12,AUGUST,8,"7,8"
2012,20,12,SEPTEMBER,9,"24,25"
2012,20,12,NOVEMBER,11,"9,12"
2013,20,13,MAY,5,"7,8"
2013,20,13,JUNE,6,"22,25"
2013,20,13,AUGUST,8,"9,10"
2013,20,13,SEPTEMBER,9,"26,27"
2013,20,13,NOVEMBER,11,"13,14"
2110,21,10,APRIL,4,"26,27"
2110,21,10,JUNE,6,"20,21"
2110,21,10,AUGUST,8,"14,15"
2110,21,10,OCTOBER,10,"9,10"
2111,21,11,APRIL,4,30
2111,21,11,MAY,5,1
2111,21,11,JUNE,6,"22,25"
2111,21,11,AUGUST,8,"16,17"
2111,21,11,OCTOBER,10,"11,12"
2112,21,12,MAY,5,"2,3"
2112,21,12,JUNE,6,"26,27"
2112,21,12,AUGUST,8,"20,21"
2112,21,12,OCTOBER,10,"15,16"
2113,21,13,MAY,5,"4,7"
2113,21,13,JUNE,6,"28,29"
2113,21,13,AUGUST,8,"22,23"
2113,21,13,OCTOBER,10,"17,18"
2114,21,14,MAY,5,"8,9"
2114,21,14,JULY,7,"2,3"
2114,21,14,AUGUST,8,"24,27"
2114,21,14,OCTOBER,10,"19,22"
2115,21,15,MAY,5,"10,11"
2115,21,15,JULY,7,"5,6"
2115,21,15,AUGUST,8,"28,29"
2115,21,15,OCTOBER,10,"23,24"
2116,21,16,MAY,5,"14,15"
2116,21,16,JULY,7,"9,10"
2116,21,16,AUGUST,8,"30,31"
2116,21,16,OCTOBER,10,"25,26"
2117,21,17,MAY,5,"16,17"
2117,21,17,JULY,7,"11,12"
2117,21,17,SEPTEMBER,9,"4,5"
2117,21,17,OCTOBER,10,"29,30"
2118,21,18,MAY,5,"18,21"
2118,21,18,JULY,7,"13,16"
2118,21,18,SEPTEMBER,9,"6,7"
2118,21,18,OCTOBER,10,31
2118,21,18,NOVEMBER,11,1
2119,21,19,MAY,5,"22,23"
2119,21,19,JULY,7,"17,18"
2119,21,19,SEPTEMBER,9,"10,11"
2119,21,19,NOVEMBER,11,"2,5"
2210,22,10,APRIL,4,"26,27"
2210,22,10,JUNE,6,"6,7"
2210,22,10,JULY,7,"17,18"
2210,22,10,AUGUST,8,"24,27"
2210,22,10,OCTOBER,10,"4,5"
2210,22,10,NOVEMBER,11,"14,15"
2211,22,11,APRIL,4,30
2211,22,11,MAY,5,1
2211,22,11,JUNE,6,"8,11"
2211,22,11,JULY,7,"19,20"
2211,22,11,AUGUST,8,"28,29"
2211,22,11,OCTOBER,10,"9,10"
2211,22,11,NOVEMBER,11,16
2212,22,12,MAY,5,"2,3"
2212,22,12,JUNE,6,"12,13"
2212,22,12,JULY,7,"23,24"
2212,22,12,AUGUST,8,"30,31"
2212,22,12,OCTOBER,10,"11,12"
2213,22,13,MAY,5,"4,7"
2213,22,13,JUNE,6,"14,15"
2213,22,13,JULY,7,"25,26"
2213,22,13,SEPTEMBER,9,"4,5"
2213,22,13,OCTOBER,10,"15,16"
2214,22,14,MAY,5,"8,9"
2214,22,14,JUNE,6,"18,19"
2214,22,14,JULY,7,"27,30"
2214,22,14,SEPTEMBER,9,"6,7"
2214,22,14,OCTOBER,10,"17,18"
2310,23,10,APRIL,4,"26,27"
2310,23,10,JUNE,6,"20,21"
2310,23,10,AUGUST,8,"14,15"
2310,23,10,OCTOBER,10,"9,10"
2311,23,11,APRIL,4,30
2311,23,11,MAY,5,1
2311,23,11,JUNE,6,"22,25"
2311,23,11,AUGUST,8,"16,17"
2311,23,11,OCTOBER,10,"11,12"
2312,23,12,MAY,5,"2,3"
2312,23,12,JUNE,6,"26,27"
2312,23,12,AUGUST,8,"20,21"
2312,23,12,OCTOBER,10,"15,16"
2313,23,13,MAY,5,"4,7"
2313,23,13,JUNE,6,"28,29"
2313,23,13,AUGUST,8,"22,23"
2313,23,13,OCTOBER,10,"17,18"
2314,23,14,MAY,5,"8,9"
2314,23,14,JULY,7,"2,3"
2314,23,14,AUGUST,8,"24,27"
2314,23,14,OCTOBER,10,"19,22"
2315,23,15,MAY,5,"10,11"
2315,23,15,JULY,7,"5,6"
2315,23,15,AUGUST,8,"28,29"
2315,23,15,OCTOBER,10,"23,24"
2316,23,16,MAY,5,"14,15"
2316,23,16,JULY,7,"9,10"
2316,23,16,AUGUST,8,"30,31"
2316,23,16,OCTOBER,10,"25,26"
2317,23,17,MAY,5,"16,17"
2317,23,17,JULY,7,"11,12"
2317,23,17,SEPTEMBER,9,"4,5"
2317,23,17,OCTOBER,10,"29,30"
2318,23,18,MAY,5,"18,21"
2318,23,18,JULY,7,"13,16"
2318,23,18,SEPTEMBER,9,"6,7"
2318,23,18,OCTOBER,10,"29,30"
2319,23,19,MAY,5,"22,23"
2319,23,19,JULY,7,"17,18"
2319,23,19,SEPTEMBER,9,"10,11"
2319,23,19,NOVEMBER,11,"2,5"
2410,24,10,APRIL,4,"26,27"
2410,24,10,MAY,5,"29,30"
2410,24,10,JUNE,6,"28,29"
2410,24,10,AUGUST,8,31
2410,24,10,SEPTEMBER,9,"1,30,31"
2410,24,10,OCTOBER,10,"2,3"
2410,24,10,NOVEMBER,11,"2,5"
2411,24,11,APRIL,4,30
2411,24,11,MAY,5,"1,31"
2411,24,11,JUNE,6,1
2411,24,11,JULY,7,"2,3"
2411,24,11,AUGUST,8,"2,3"
2411,24,11,SEPTEMBER,9,"4,5"
2411,24,11,OCTOBER,10,"4,5"
2411,24,11,NOVEMBER,11,"6,7"
2510,25,10,APRIL,4,"26,27"
2510,25,10,MAY,5,"24,25"
2510,25,10,JUNE,6,"22,28"
2510,25,10,JULY,7,"26,27"
2510,25,10,AUGUST,8,"23,24"
2510,25,10,SEPTEMBER,9,"27,28"
2510,25,10,OCTOBER,10,"25,26"
2510,25,10,NOVEMBER,11,23
2610,26,10,APRIL,4,"5,6"
2610,26,10,MAY,5,"3,4"
2610,26,10,JUNE,6,"6,7"
2610,26,10,JULY,7,"5,6"
2610,26,10,AUGUST,8,"6,7"
2610,26,10,SEPTEMBER,9,"6,7"
2610,26,10,OCTOBER,10,"4,5"
2610,26,10,NOVEMBER,11,"5,6"
2611,26,11,APRIL,4,"3,4"
2611,26,11,MAY,5,"1,2"
2611,26,11,JUNE,6,"4,5"
2611,26,11,JULY,7,"2,3"
2611,26,11,AUGUST,8,"2,3"
2611,26,11,SEPTEMBER,9,"4,5"
2611,26,11,OCTOBER,10,"2,3"
2611,26,11,NOVEMBER,11,"1,2"
2710,27,10,APRIL,4,"26,27"
2710,27,10,JUNE,6,"8,11"
2710,27,10,JULY,7,"23,24"
2710,27,10,SEPTEMBER,9,"4,5"
2710,27,10,OCTOBER,10,"17,18"
2711,27,11,APRIL,4,30
2711,27,11,MAY,5,1
2711,27,11,JUNE,6,"12,13"
2711,27,11,JULY,7,"25,26"
2711,27,11,SEPTEMBER,9,"6,7"
2711,27,11,OCTOBER,10,"19,22"
2712,27,12,MAY,5,"2,3"
2712,27,12,JUNE,6,"14,15"
2712,27,12,JULY,7,"27,30"
2712,27,12,SEPTEMBER,9,"10,11"
2712,27,12,OCTOBER,10,"23,24"
2713,27,13,MAY,5,"4,7"
2713,27,13,JUNE,6,"18,19"
2713,27,13,JULY,7,31
2713,27,13,AUGUST,8,1
2713,27,13,SEPTEMBER,9,"12,13"
2713,27,13,OCTOBER,10,"25,26"
2714,27,14,MAY,5,"8,9"
2714,27,14,JUNE,6,"20,21"
2714,27,14,AUGUST,8,"2,3"
2714,27,14,SEPTEMBER,9,"14,17"
2714,27,14,OCTOBER,10,"29,30"
2715,27,15,MAY,5,"10,11"
2715,27,15,JUNE,6,"22,25"
2715,27,15,AUGUST,8,"6,7"
2715,27,15,SEPTEMBER,9,"18,19"
2715,27,15,OCTOBER,10,31
2715,27,15,NOVEMBER,11,1
2810,28,10,APRIL,4,"26,27"
2810,28,10,JUNE,6,"4,5"
2810,28,10,JULY,7,"13,16"
2810,28,10,AUGUST,8,"21,22"
2810,28,10,OCTOBER,10,"1,2"
2810,28,10,NOVEMBER,11,"12,13"
2811,28,11,APRIL,4,30
2811,28,11,MAY,5,1
2811,28,11,JUNE,6,"6,7"
2811,28,11,JULY,7,"17,18"
2811,28,11,AUGUST,8,"27,28"
2811,28,11,OCTOBER,10,31
2811,28,11,NOVEMBER,11,1
2812,28,12,MAY,5,"2,3"
2812,28,12,JUNE,6,"8,11"
2812,28,12,JULY,7,"19,20"
2812,28,12,AUGUST,8,"29,30"
2812,28,12,OCTOBER,10,"10,11"
2812,28,12,NOVEMBER,11,"12,13"
2813,28,13,MAY,5,"4,7"
2813,28,13,JUNE,6,"12,13"
2813,28,13,JULY,7,"23,24"
2813,28,13,SEPTEMBER,9,"4,5"
2813,28,13,OCTOBER,10,"3,4"
2813,28,13,NOVEMBER,11,"14,15"
2910,29,10,APRIL,4,"26,27"
2910,29,10,JUNE,6,"6,7"
2910,29,10,JULY,7,"17,18"
2910,29,10,AUGUST,8,"24,27"
2910,29,10,OCTOBER,10,"4,5"
2910,29,10,NOVEMBER,11,"14,15"
2911,29,11,APRIL,4,30
2911,29,11,MAY,5,1
2911,29,11,JUNE,6,"8,11"
2911,29,11,JULY,7,"19,20"
2911,29,11,AUGUST,8,"28,29"
2911,29,11,OCTOBER,10,"9,10"
2911,29,11,NOVEMBER,11,16
2912,29,12,MAY,5,"2,3"
2912,29,12,JUNE,6,"12,13"
2912,29,12,JULY,7,"23,24"
2912,29,12,AUGUST,8,"30,31"
2912,29,12,OCTOBER,10,"11,12"
2913,29,13,MAY,5,"4,7"
2913,29,13,JUNE,6,"14,15"
2913,29,13,JULY,7,"25,26"
2913,29,13,SEPTEMBER,9,"4,5"
2913,29,13,OCTOBER,10,"15,16"
2914,29,14,MAY,5,"8,9"
2914,29,14,JUNE,6,"18,19"
2914,29,14,JULY,7,"27,30"
2914,29,14,SEPTEMBER,9,"6,7"
2914,29,14,OCTOBER,10,"17,18"
3010,30,10,APRIL,4,"26,27"
3010,30,10,MAY,5,"29,30"
3010,30,10,JUNE,6,"28,29"
3010,30,10,JULY,7,31
3010,30,10,AUGUST,8,"1,30,31"
3010,30,10,OCTOBER,10,"2,3"
3010,30,10,NOVEMBER,11,"2,5"
3011,30,11,APRIL,4,30
3011,30,11,MAY,5,"1,31"
3011,30,11,JUNE,6,1
3011,30,11,JULY,7,"2,3"
3011,30,11,AUGUST,8,"2,3"
3011,30,11,SEPTEMBER,9,"4,5"
3011,30,11,OCTOBER,10,"4,5"
3011,30,11,NOVEMBER,11,"6,7"
3110,31,10,APRIL,4,"26,27"
3110,31,10,MAY,5,31
3110,31,10,JUNE,6,1
3110,31,10,JULY,7,"5,6"
