ESTACION,TIEMPO,AIRETEMPERATURA,BULBOTEMPERATURA,HUMEDAD,INTECIDADLLUVIA,INTERVALOLLUVIA,LLUVIATOTAL,PRECICION,DIRECIONVIENTO,VELOCIDADVIENTO,VELOCIDADMAXIMA,BAROMETRICA,RADIACIONSOLAR,RUMBO,BATERIA,HORAMEDICION,ID
63rd Street Weather Station,,93,6,63,0,0,529,0,272,38,56,9816,328,354,119,,63rdStreetWeatherStation201601301400
Oak Street Weather Station,,91,57,61,0,0,444,0,234,11,21,9819,122,0,121,,OakStreetWeatherStation201601301400
63rd Street Weather Station,,96,63,62,0,0,529,0,266,25,49,9816,190,354,119,,63rdStreetWeatherStation201601301500
Oak Street Weather Station,,95,6,60,0,0,444,0,270,18,43,9819,125,0,12,,OakStreetWeatherStation201601301500
63rd Street Weather Station,,97,63,62,0,0,529,0,238,19,26,9823,100,354,119,,63rdStreetWeatherStation201601301600
Oak Street Weather Station,,95,6,60,0,0,444,0,337,16,22,9828,46,0,119,,OakStreetWeatherStation201601301600
63rd Street Weather Station,,91,6,64,0,0,529,0,230,14,23,983,6,354,119,,63rdStreetWeatherStation201601301700
Oak Street Weather Station,,71,46,68,0,0,444,0,105,6,9,9832,3,0,12,,OakStreetWeatherStation201601301700
63rd Street Weather Station,,82,56,68,0,0,529,0,219,22,38,9834,4,354,119,,63rdStreetWeatherStation201601301800
Oak Street Weather Station,,85,55,65,0,0,444,0,23,9,9,9837,2,0,121,,OakStreetWeatherStation201601301800
63rd Street Weather Station,,76,53,71,0,0,529,0,216,24,37,9836,4,354,119,,63rdStreetWeatherStation201601301900
Oak Street Weather Station,,9,6,65,0,0,444,0,259,16,34,984,1,0,121,,OakStreetWeatherStation201601301900
63rd Street Weather Station,,74,52,73,0,0,529,0,241,27,45,9836,4,354,12,,63rdStreetWeatherStation201601302000
Oak Street Weather Station,,89,6,66,0,0,444,0,289,16,34,9839,1,0,121,,OakStreetWeatherStation201601302000
63rd Street Weather Station,,73,53,75,0,0,529,0,249,3,55,9835,4,354,12,,63rdStreetWeatherStation201601302100
Oak Street Weather Station,,85,59,68,0,0,444,0,290,19,39,9836,1,0,121,,OakStreetWeatherStation201601302100
63rd Street Weather Station,,75,55,75,0,0,529,0,230,3,5,9831,4,354,119,,63rdStreetWeatherStation201601302200
Oak Street Weather Station,,99,66,62,0,1,445,0,270,29,58,9824,1,0,12,,OakStreetWeatherStation201601302200
63rd Street Weather Station,,74,56,77,24,1,53,60,215,32,47,983,4,354,119,,63rdStreetWeatherStation201601302300
Oak Street Weather Station,,101,7,64,6,1,446,60,301,3,65,983,1,0,121,,OakStreetWeatherStation201601302300
63rd Street Weather Station,,65,52,82,0,0,532,0,209,15,26,982,4,354,119,,63rdStreetWeatherStation201601310100
Oak Street Weather Station,,98,69,67,0,0,448,0,121,8,13,9819,1,0,121,,OakStreetWeatherStation201601310100
63rd Street Weather Station,,68,56,83,0,0,532,0,191,24,39,9815,4,355,119,,63rdStreetWeatherStation201601310200
Oak Street Weather Station,,97,71,70,0,0,448,0,110,23,37,9814,1,0,121,,OakStreetWeatherStation201601310200
63rd Street Weather Station,,69,56,83,0,0,532,0,166,21,26,9804,4,354,12,,63rdStreetWeatherStation201601310300
Oak Street Weather Station,,93,71,74,0,0,448,0,112,39,64,9804,2,0,121,,OakStreetWeatherStation201601310300
63rd Street Weather Station,,56,47,88,0,0,532,0,151,17,23,9794,4,354,119,,63rdStreetWeatherStation201601310400
Oak Street Weather Station,,86,68,78,0,0,448,0,119,26,4,9796,2,0,12,,OakStreetWeatherStation201601310400
63rd Street Weather Station,,67,57,88,0,0,532,0,192,27,43,9796,4,354,119,,63rdStreetWeatherStation201601310500
Oak Street Weather Station,,87,7,80,0,0,448,0,0,11,36,9796,2,0,12,,OakStreetWeatherStation201601310500
63rd Street Weather Station,,74,66,90,0,0,532,0,202,36,65,9787,4,354,119,,63rdStreetWeatherStation201601310600
Oak Street Weather Station,,85,72,85,0,0,448,0,93,41,64,9785,2,0,12,,OakStreetWeatherStation201601310600
63rd Street Weather Station,,83,76,91,0,0,532,0,224,42,75,9786,4,354,119,,63rdStreetWeatherStation201601310700
Oak Street Weather Station,,89,78,87,0,0,448,0,316,12,42,9787,3,0,121,,OakStreetWeatherStation201601310700
63rd Street Weather Station,,92,85,92,0,0,532,0,242,37,55,9783,35,353,12,,63rdStreetWeatherStation201601310800
Oak Street Weather Station,,98,87,87,0,0,448,0,275,32,69,9783,29,0,122,,OakStreetWeatherStation201601310800
63rd Street Weather Station,,94,88,92,0,0,532,0,244,54,93,9775,145,354,119,,63rdStreetWeatherStation201601310900
Oak Street Weather Station,,99,88,87,0,0,448,0,276,31,56,9776,67,0,12,,OakStreetWeatherStation201601310900
63rd Street Weather Station,,98,92,92,0,0,532,0,244,53,95,9771,74,354,119,,63rdStreetWeatherStation201601311000
Oak Street Weather Station,,98,88,88,0,0,448,0,248,18,43,9775,49,0,121,,OakStreetWeatherStation201601311000
63rd Street Weather Station,,99,93,92,0,0,532,0,231,4,67,9764,115,355,119,,63rdStreetWeatherStation201601311100
Oak Street Weather Station,,10,89,88,0,0,448,0,354,12,28,9767,106,0,12,,OakStreetWeatherStation201601311100
63rd Street Weather Station,,10,94,94,12,1,542,60,254,4,59,9763,34,354,119,,63rdStreetWeatherStation201601311200
Oak Street Weather Station,,102,92,88,6,0,448,60,287,13,36,9768,26,0,12,,OakStreetWeatherStation201601311200
63rd Street Weather Station,,99,95,95,0,12,554,0,256,41,57,976,32,354,119,,63rdStreetWeatherStation201601311300
Oak Street Weather Station,,102,92,89,12,7,455,60,310,1,55,976,22,0,121,,OakStreetWeatherStation201601311300
63rd Street Weather Station,,101,96,94,12,12,566,60,270,41,59,9762,32,354,118,,63rdStreetWeatherStation201601311400
Oak Street Weather Station,,102,89,86,0,3,458,60,327,1,23,9767,37,0,122,,OakStreetWeatherStation201601311400
63rd Street Weather Station,,93,83,89,0,1,576,0,280,3,6,9778,27,354,12,,63rdStreetWeatherStation201601311500
Oak Street Weather Station,,91,79,85,0,1,459,60,343,18,29,9781,24,0,121,,OakStreetWeatherStation201601311500
63rd Street Weather Station,,84,75,90,0,0,576,0,287,26,55,9788,23,354,119,,63rdStreetWeatherStation201601311600
Oak Street Weather Station,,81,69,85,0,0,459,0,315,18,29,9791,27,0,12,,OakStreetWeatherStation201601311600
63rd Street Weather Station,,73,66,91,0,2,578,0,287,36,64,9801,5,354,119,,63rdStreetWeatherStation201601311700
Oak Street Weather Station,,7,59,86,0,0,46,0,286,9,28,9807,3,0,12,,OakStreetWeatherStation201601311700
63rd Street Weather Station,,6,52,89,0,0,578,0,296,4,75,9816,4,354,119,,63rdStreetWeatherStation201601311800
Oak Street Weather Station,,62,51,85,0,0,46,0,339,21,36,982,2,0,12,,OakStreetWeatherStation201601311800
63rd Street Weather Station,,51,43,88,0,0,578,0,284,27,6,9832,4,354,119,,63rdStreetWeatherStation201601311900
Oak Street Weather Station,,53,42,84,0,0,46,0,310,17,36,9833,3,0,121,,OakStreetWeatherStation201601311900
63rd Street Weather Station,,5,4,86,0,0,578,0,289,32,66,9848,4,354,119,,63rdStreetWeatherStation201601312000
Oak Street Weather Station,,52,38,80,0,0,46,0,304,13,22,985,3,0,121,,OakStreetWeatherStation201601312000
63rd Street Weather Station,,44,35,86,0,0,578,0,295,39,56,9862,4,354,12,,63rdStreetWeatherStation201601312100
Oak Street Weather Station,,48,34,81,0,0,46,0,314,1,29,9864,3,0,121,,OakStreetWeatherStation201601312100
63rd Street Weather Station,,39,29,86,0,0,578,0,290,46,65,9867,4,354,119,,63rdStreetWeatherStation201601312200
Oak Street Weather Station,,41,29,82,0,0,46,0,304,15,37,9872,3,0,121,,OakStreetWeatherStation201601312200
63rd Street Weather Station,,32,23,86,0,0,578,0,285,35,66,9877,4,354,12,,63rdStreetWeatherStation201601312300
Oak Street Weather Station,,36,24,83,0,0,46,0,308,9,25,988,3,0,121,,OakStreetWeatherStation201601312300
63rd Street Weather Station,2/01/2016 12:00:00 a. m.,27,2,89,0,0,578,0,280,2,36,9884,4,354,119,2/01/2016 12:00:00 a. m.,63rdStreetWeatherStation201602012400
Oak Street Weather Station,2/01/2016 12:00:00 a. m.,32,22,84,0,0,46,0,261,8,22,9886,3,0,119,2/01/2016 12:00:00 a. m.,OakStreetWeatherStation201602012400
63rd Street Weather Station,2/01/2016 1:00:00 a. m.,22,16,90,0,0,578,0,287,2,27,9889,4,354,119,2/01/2016 1:00:00 a. m.,63rdStreetWeatherStation201602010100
Oak Street Weather Station,2/01/2016 1:00:00 a. m.,29,19,84,0,0,46,0,298,11,2,9893,3,0,12,2/01/2016 1:00:00 a. m.,OakStreetWeatherStation201602010100
63rd Street Weather Station,2/01/2016 2:00:00 a. m.,18,12,90,0,0,578,0,273,19,28,9895,4,354,118,2/01/2016 2:00:00 a. m.,63rdStreetWeatherStation201602010200
63rd Street Weather Station,2/01/2016 3:00:00 a. m.,18,11,90,0,0,578,0,281,26,35,990,4,354,119,2/01/2016 3:00:00 a. m.,63rdStreetWeatherStation201602010300
63rd Street Weather Station,2/01/2016 4:00:00 a. m.,15,8,89,0,0,578,0,291,16,28,9901,4,354,119,2/01/2016 4:00:00 a. m.,63rdStreetWeatherStation201602010400
Oak Street Weather Station,2/01/2016 4:00:00 a. m.,22,11,83,0,0,46,0,282,7,21,9906,4,0,121,2/01/2016 4:00:00 a. m.,OakStreetWeatherStation201602010400
63rd Street Weather Station,2/01/2016 5:00:00 a. m.,17,9,88,0,0,578,0,301,28,48,9904,4,354,119,2/01/2016 5:00:00 a. m.,63rdStreetWeatherStation201602010500
63rd Street Weather Station,2/01/2016 6:00:00 a. m.,17,9,86,0,0,578,0,304,23,4,9907,4,354,119,2/01/2016 6:00:00 a. m.,63rdStreetWeatherStation201602010600
Oak Street Weather Station,2/01/2016 6:00:00 a. m.,22,1,81,0,0,46,0,295,1,19,9914,4,0,121,2/01/2016 6:00:00 a. m.,OakStreetWeatherStation201602010600
63rd Street Weather Station,2/01/2016 7:00:00 a. m.,15,7,87,0,0,578,0,273,26,36,9922,6,354,119,2/01/2016 7:00:00 a. m.,63rdStreetWeatherStation201602010700
63rd Street Weather Station,2/01/2016 8:00:00 a. m.,15,8,88,0,0,578,0,261,37,49,9929,64,354,119,2/01/2016 8:00:00 a. m.,63rdStreetWeatherStation201602010800
63rd Street Weather Station,2/01/2016 9:00:00 a. m.,19,1,86,0,0,578,0,262,24,32,9933,138,354,119,2/01/2016 9:00:00 a. m.,63rdStreetWeatherStation201602010900
Oak Street Weather Station,2/01/2016 9:00:00 a. m.,3,15,78,0,0,46,0,255,2,39,9938,143,0,12,2/01/2016 9:00:00 a. m.,OakStreetWeatherStation201602010900
63rd Street Weather Station,2/01/2016 10:00:00 a. m.,29,17,82,0,0,578,0,243,16,21,9942,326,354,119,2/01/2016 10:00:00 a. m.,63rdStreetWeatherStation201602011000
Oak Street Weather Station,2/01/2016 10:00:00 a. m.,31,17,78,0,0,46,0,115,24,26,9944,428,0,121,2/01/2016 10:00:00 a. m.,OakStreetWeatherStation201602011000
63rd Street Weather Station,2/01/2016 11:00:00 a. m.,49,3,73,0,0,578,0,191,18,33,9946,492,354,119,2/01/2016 11:00:00 a. m.,63rdStreetWeatherStation201602011100
Oak Street Weather Station,2/01/2016 11:00:00 a. m.,45,27,74,0,0,46,0,76,11,14,995,470,0,122,2/01/2016 11:00:00 a. m.,OakStreetWeatherStation201602011100
63rd Street Weather Station,2/01/2016 12:00:00 p. m.,64,38,66,0,0,578,0,255,21,28,9945,510,354,119,2/01/2016 12:00:00 p. m.,63rdStreetWeatherStation201602011200
Oak Street Weather Station,2/01/2016 12:00:00 p. m.,28,17,83,0,0,46,0,32,8,15,9949,46,0,121,2/01/2016 12:00:00 p. m.,OakStreetWeatherStation201602011200
63rd Street Weather Station,2/01/2016 1:00:00 p. m.,34,21,80,0,0,578,0,113,25,34,9945,475,353,119,2/01/2016 1:00:00 p. m.,63rdStreetWeatherStation201602011300
Oak Street Weather Station,2/01/2016 1:00:00 p. m.,28,17,83,0,0,46,0,103,23,28,995,427,0,121,2/01/2016 1:00:00 p. m.,OakStreetWeatherStation201602011300
63rd Street Weather Station,2/01/2016 3:00:00 p. m.,28,19,87,0,0,578,0,85,17,34,994,397,353,119,2/01/2016 3:00:00 p. m.,63rdStreetWeatherStation201602011500
Oak Street Weather Station,2/01/2016 3:00:00 p. m.,29,15,79,0,0,46,0,106,25,31,9947,42,0,121,2/01/2016 3:00:00 p. m.,OakStreetWeatherStation201602011500
63rd Street Weather Station,2/01/2016 4:00:00 p. m.,27,18,86,0,0,578,0,118,1,15,9944,296,353,119,2/01/2016 4:00:00 p. m.,63rdStreetWeatherStation201602011600
Oak Street Weather Station,2/01/2016 4:00:00 p. m.,28,16,81,0,0,46,0,19,28,35,9948,35,0,121,2/01/2016 4:00:00 p. m.,OakStreetWeatherStation201602011600
63rd Street Weather Station,2/01/2016 5:00:00 p. m.,26,18,88,0,0,578,0,119,2,24,9944,151,353,119,2/01/2016 5:00:00 p. m.,63rdStreetWeatherStation201602011700
Oak Street Weather Station,2/01/2016 5:00:00 p. m.,21,12,84,0,0,46,0,30,15,2,995,26,0,12,2/01/2016 5:00:00 p. m.,OakStreetWeatherStation201602011700
63rd Street Weather Station,2/01/2016 6:00:00 p. m.,24,16,88,0,0,578,0,130,14,19,9951,9,354,12,2/01/2016 6:00:00 p. m.,63rdStreetWeatherStation201602011800
Oak Street Weather Station,2/01/2016 6:00:00 p. m.,32,2,82,0,0,46,0,106,26,35,9956,8,0,12,2/01/2016 6:00:00 p. m.,OakStreetWeatherStation201602011800
63rd Street Weather Station,2/01/2016 7:00:00 p. m.,19,14,91,0,0,578,0,65,9,1,9958,4,354,119,2/01/2016 7:00:00 p. m.,63rdStreetWeatherStation201602011900
63rd Street Weather Station,2/01/2016 8:00:00 p. m.,18,13,92,0,0,578,0,23,7,9,9961,4,354,119,2/01/2016 8:00:00 p. m.,63rdStreetWeatherStation201602012000
Oak Street Weather Station,2/01/2016 8:00:00 p. m.,42,25,75,0,0,46,0,111,27,37,9966,3,0,12,2/01/2016 8:00:00 p. m.,OakStreetWeatherStation201602012000
63rd Street Weather Station,2/01/2016 9:00:00 p. m.,2,15,92,0,0,578,0,65,9,1,9964,4,354,119,2/01/2016 9:00:00 p. m.,63rdStreetWeatherStation201602012100
Oak Street Weather Station,2/01/2016 9:00:00 p. m.,38,22,77,0,0,46,0,101,23,34,9969,3,0,121,2/01/2016 9:00:00 p. m.,OakStreetWeatherStation201602012100
63rd Street Weather Station,2/01/2016 10:00:00 p. m.,22,17,92,0,0,578,0,36,15,19,9965,4,354,119,2/01/2016 10:00:00 p. m.,63rdStreetWeatherStation201602012200
Oak Street Weather Station,2/01/2016 10:00:00 p. m.,24,14,84,0,0,46,0,79,1,18,9971,3,0,12,2/01/2016 10:00:00 p. m.,OakStreetWeatherStation201602012200
63rd Street Weather Station,2/01/2016 11:00:00 p. m.,17,13,94,0,0,578,0,18,24,29,9963,4,354,119,2/01/2016 11:00:00 p. m.,63rdStreetWeatherStation201602012300
Oak Street Weather Station,2/01/2016 11:00:00 p. m.,13,7,90,0,0,46,0,89,4,9,9968,3,0,121,2/01/2016 11:00:00 p. m.,OakStreetWeatherStation201602012300
63rd Street Weather Station,2/02/2016 12:00:00 a. m.,16,13,95,0,0,578,0,25,21,24,9965,4,354,119,2/02/2016 12:00:00 a. m.,63rdStreetWeatherStation201602022400
Oak Street Weather Station,2/02/2016 12:00:00 a. m.,15,9,89,0,0,46,0,36,7,9,9973,3,0,12,2/02/2016 12:00:00 a. m.,OakStreetWeatherStation201602022400
63rd Street Weather Station,2/02/2016 1:00:00 a. m.,16,12,94,0,0,578,0,13,12,15,9974,4,354,119,2/02/2016 1:00:00 a. m.,63rdStreetWeatherStation201602020100
Oak Street Weather Station,2/02/2016 1:00:00 a. m.,32,22,85,0,0,46,0,107,22,33,9978,3,0,12,2/02/2016 1:00:00 a. m.,OakStreetWeatherStation201602020100
63rd Street Weather Station,2/02/2016 2:00:00 a. m.,18,14,92,0,0,578,0,59,15,16,997,4,354,118,2/02/2016 2:00:00 a. m.,63rdStreetWeatherStation201602020200
Oak Street Weather Station,2/02/2016 2:00:00 a. m.,28,18,86,0,0,46,0,104,26,3,9976,3,0,12,2/02/2016 2:00:00 a. m.,OakStreetWeatherStation201602020200
63rd Street Weather Station,2/02/2016 3:00:00 a. m.,13,1,94,0,0,578,0,69,11,16,9974,4,354,119,2/02/2016 3:00:00 a. m.,63rdStreetWeatherStation201602020300
Oak Street Weather Station,2/02/2016 3:00:00 a. m.,11,6,91,0,0,46,0,18,9,12,9979,3,0,12,2/02/2016 3:00:00 a. m.,OakStreetWeatherStation201602020300
63rd Street Weather Station,2/02/2016 4:00:00 a. m.,17,13,94,0,0,578,0,49,13,17,9977,4,354,119,2/02/2016 4:00:00 a. m.,63rdStreetWeatherStation201602020400
63rd Street Weather Station,2/02/2016 5:00:00 a. m.,16,13,95,0,0,578,0,83,42,49,9961,4,354,118,2/02/2016 5:00:00 a. m.,63rdStreetWeatherStation201602020500
63rd Street Weather Station,2/02/2016 6:00:00 a. m.,18,13,93,0,0,578,0,108,23,29,9961,4,354,119,2/02/2016 6:00:00 a. m.,63rdStreetWeatherStation201602020600
Oak Street Weather Station,2/02/2016 6:00:00 a. m.,24,17,88,0,0,46,0,114,2,28,9969,4,0,121,2/02/2016 6:00:00 a. m.,OakStreetWeatherStation201602020600
63rd Street Weather Station,2/02/2016 7:00:00 a. m.,19,14,92,0,0,578,0,87,5,66,9953,4,354,119,2/02/2016 7:00:00 a. m.,63rdStreetWeatherStation201602020700
63rd Street Weather Station,2/02/2016 8:00:00 a. m.,19,14,92,0,0,578,0,101,51,77,9952,5,354,119,2/02/2016 8:00:00 a. m.,63rdStreetWeatherStation201602020800
Oak Street Weather Station,2/02/2016 8:00:00 a. m.,24,16,88,0,0,46,0,110,31,55,996,5,0,121,2/02/2016 8:00:00 a. m.,OakStreetWeatherStation201602020800
63rd Street Weather Station,2/02/2016 9:00:00 a. m.,2,14,89,0,0,578,0,103,58,86,9938,27,354,118,2/02/2016 9:00:00 a. m.,63rdStreetWeatherStation201602020900
Oak Street Weather Station,2/02/2016 9:00:00 a. m.,24,16,87,0,0,46,0,107,37,69,995,35,0,12,2/02/2016 9:00:00 a. m.,OakStreetWeatherStation201602020900
63rd Street Weather Station,2/02/2016 10:00:00 a. m.,23,15,89,0,0,578,0,95,69,10,9911,55,354,119,2/02/2016 10:00:00 a. m.,63rdStreetWeatherStation201602021000
Oak Street Weather Station,2/02/2016 10:00:00 a. m.,23,14,86,0,0,46,0,102,48,7,9921,98,0,12,2/02/2016 10:00:00 a. m.,OakStreetWeatherStation201602021000
63rd Street Weather Station,2/02/2016 11:00:00 a. m.,27,19,88,0,0,578,0,118,65,8,9901,42,354,119,2/02/2016 11:00:00 a. m.,63rdStreetWeatherStation201602021100
Oak Street Weather Station,2/02/2016 11:00:00 a. m.,28,18,85,0,0,46,0,108,6,94,9908,70,0,121,2/02/2016 11:00:00 a. m.,OakStreetWeatherStation201602021100
63rd Street Weather Station,2/02/2016 12:00:00 p. m.,31,23,87,222,95,95,60,120,87,107,988,41,354,119,2/02/2016 12:00:00 p. m.,63rdStreetWeatherStation201602021200
63rd Street Weather Station,2/02/2016 1:00:00 p. m.,31,22,86,0,48,48,0,104,76,104,9852,26,354,119,2/02/2016 1:00:00 p. m.,63rdStreetWeatherStation201602021300
63rd Street Weather Station,2/02/2016 2:00:00 p. m.,27,2,89,24,25,25,60,108,91,119,9824,15,354,118,2/02/2016 2:00:00 p. m.,63rdStreetWeatherStation201602021400
63rd Street Weather Station,2/02/2016 3:00:00 p. m.,26,2,91,0,79,104,0,52,47,68,9825,14,354,119,2/02/2016 3:00:00 p. m.,63rdStreetWeatherStation201602021500
Oak Street Weather Station,2/02/2016 3:00:00 p. m.,24,19,91,78,58,106,70,93,34,42,9836,7,0,12,2/02/2016 3:00:00 p. m.,OakStreetWeatherStation201602021500
63rd Street Weather Station,2/02/2016 4:00:00 p. m.,22,2,97,156,54,55,60,63,9,106,9806,15,354,12,2/02/2016 4:00:00 p. m.,63rdStreetWeatherStation201602021600
63rd Street Weather Station,2/02/2016 5:00:00 p. m.,2,19,98,426,54,54,60,77,98,102,9794,4,354,119,2/02/2016 5:00:00 p. m.,63rdStreetWeatherStation201602021700
63rd Street Weather Station,2/02/2016 6:00:00 p. m.,26,25,98,252,29,343,60,98,85,103,9779,4,354,119,2/02/2016 6:00:00 p. m.,63rdStreetWeatherStation201602021800
63rd Street Weather Station,2/02/2016 7:00:00 p. m.,33,32,98,0,27,27,60,113,52,76,9774,3,354,12,2/02/2016 7:00:00 p. m.,63rdStreetWeatherStation201602021900
63rd Street Weather Station,2/02/2016 8:00:00 p. m.,35,34,99,0,62,62,60,93,5,89,9767,4,354,119,2/02/2016 8:00:00 p. m.,63rdStreetWeatherStation201602022000
Oak Street Weather Station,2/02/2016 8:00:00 p. m.,37,33,95,0,32,41,0,209,12,32,9779,2,0,12,2/02/2016 8:00:00 p. m.,OakStreetWeatherStation201602022000
63rd Street Weather Station,2/02/2016 9:00:00 p. m.,3,29,99,0,19,81,0,77,54,65,9762,3,354,119,2/02/2016 9:00:00 p. m.,63rdStreetWeatherStation201602022100
Oak Street Weather Station,2/02/2016 9:00:00 p. m.,38,34,94,0,0,41,0,135,17,49,9769,3,0,121,2/02/2016 9:00:00 p. m.,OakStreetWeatherStation201602022100
63rd Street Weather Station,2/02/2016 10:00:00 p. m.,34,33,99,0,1,83,0,62,23,37,9761,4,354,119,2/02/2016 10:00:00 p. m.,63rdStreetWeatherStation201602022200
Oak Street Weather Station,2/02/2016 10:00:00 p. m.,42,38,94,0,5,46,0,122,17,22,9769,3,0,12,2/02/2016 10:00:00 p. m.,OakStreetWeatherStation201602022200
63rd Street Weather Station,2/02/2016 11:00:00 p. m.,33,31,98,0,0,83,0,9,6,1,9757,4,354,119,2/02/2016 11:00:00 p. m.,63rdStreetWeatherStation201602022300
Oak Street Weather Station,2/02/2016 11:00:00 p. m.,44,4,94,0,0,46,0,94,21,27,976,3,0,121,2/02/2016 11:00:00 p. m.,OakStreetWeatherStation201602022300
63rd Street Weather Station,2/03/2016 12:00:00 a. m.,38,36,98,0,0,83,0,269,14,17,9753,4,354,119,2/03/2016 12:00:00 a. m.,63rdStreetWeatherStation201602032400
Oak Street Weather Station,2/03/2016 12:00:00 a. m.,37,32,93,0,0,46,0,5,7,1,9759,3,0,121,2/03/2016 12:00:00 a. m.,OakStreetWeatherStation201602032400
63rd Street Weather Station,2/03/2016 1:00:00 a. m.,43,42,100,0,0,83,0,267,26,36,975,3,354,119,2/03/2016 1:00:00 a. m.,63rdStreetWeatherStation201602030100
Oak Street Weather Station,2/03/2016 1:00:00 a. m.,37,33,95,0,0,46,0,115,13,17,9755,3,0,12,2/03/2016 1:00:00 a. m.,OakStreetWeatherStation201602030100
63rd Street Weather Station,2/03/2016 2:00:00 a. m.,4,4,100,0,0,83,0,258,25,31,9752,4,354,119,2/03/2016 2:00:00 a. m.,63rdStreetWeatherStation201602030200
Oak Street Weather Station,2/03/2016 2:00:00 a. m.,48,45,96,0,0,46,0,267,17,46,9757,3,0,121,2/03/2016 2:00:00 a. m.,OakStreetWeatherStation201602030200
63rd Street Weather Station,2/03/2016 3:00:00 a. m.,39,39,100,0,0,83,0,260,31,46,9753,4,354,119,2/03/2016 3:00:00 a. m.,63rdStreetWeatherStation201602030300
Oak Street Weather Station,2/03/2016 3:00:00 a. m.,37,34,97,0,0,46,0,282,12,4,9759,3,0,12,2/03/2016 3:00:00 a. m.,OakStreetWeatherStation201602030300
63rd Street Weather Station,2/03/2016 4:00:00 a. m.,32,32,100,0,0,83,0,249,42,57,9755,4,354,119,2/03/2016 4:00:00 a. m.,63rdStreetWeatherStation201602030400
Oak Street Weather Station,2/03/2016 4:00:00 a. m.,32,3,97,0,0,46,0,117,9,17,9756,2,0,121,2/03/2016 4:00:00 a. m.,OakStreetWeatherStation201602030400
63rd Street Weather Station,2/03/2016 5:00:00 a. m.,37,37,100,0,0,83,0,247,48,68,9756,3,353,119,2/03/2016 5:00:00 a. m.,63rdStreetWeatherStation201602030500
Oak Street Weather Station,2/03/2016 5:00:00 a. m.,38,36,97,0,0,46,0,273,44,75,9757,3,0,121,2/03/2016 5:00:00 a. m.,OakStreetWeatherStation201602030500
63rd Street Weather Station,2/03/2016 6:00:00 a. m.,36,36,100,0,0,83,0,261,56,82,9761,4,354,119,2/03/2016 6:00:00 a. m.,63rdStreetWeatherStation201602030600
Oak Street Weather Station,2/03/2016 6:00:00 a. m.,39,37,97,0,0,46,0,288,28,56,9765,2,0,121,2/03/2016 6:00:00 a. m.,OakStreetWeatherStation201602030600
63rd Street Weather Station,2/03/2016 7:00:00 a. m.,39,3,87,0,0,83,0,260,64,9,9768,4,354,119,2/03/2016 7:00:00 a. m.,63rdStreetWeatherStation201602030700
Oak Street Weather Station,2/03/2016 7:00:00 a. m.,39,36,95,0,0,46,0,263,42,83,9768,2,0,121,2/03/2016 7:00:00 a. m.,OakStreetWeatherStation201602030700
63rd Street Weather Station,2/03/2016 8:00:00 a. m.,37,23,80,0,0,83,0,260,59,71,9772,7,354,119,2/03/2016 8:00:00 a. m.,63rdStreetWeatherStation201602030800
Oak Street Weather Station,2/03/2016 8:00:00 a. m.,41,26,79,0,0,46,0,275,48,104,9772,5,0,121,2/03/2016 8:00:00 a. m.,OakStreetWeatherStation201602030800
63rd Street Weather Station,2/03/2016 9:00:00 a. m.,35,22,81,0,0,83,0,247,65,112,9781,37,353,119,2/03/2016 9:00:00 a. m.,63rdStreetWeatherStation201602030900
Oak Street Weather Station,2/03/2016 9:00:00 a. m.,42,27,79,0,0,46,0,270,37,94,9782,58,0,121,2/03/2016 9:00:00 a. m.,OakStreetWeatherStation201602030900
63rd Street Weather Station,2/03/2016 10:00:00 a. m.,35,21,80,0,0,83,0,242,66,118,9788,60,354,119,2/03/2016 10:00:00 a. m.,63rdStreetWeatherStation201602031000
Oak Street Weather Station,2/03/2016 10:00:00 a. m.,4,23,76,0,0,46,0,263,34,64,9789,34,0,12,2/03/2016 10:00:00 a. m.,OakStreetWeatherStation201602031000
63rd Street Weather Station,2/03/2016 11:00:00 a. m.,39,23,77,0,0,83,0,243,72,133,9799,122,354,119,2/03/2016 11:00:00 a. m.,63rdStreetWeatherStation201602031100
Oak Street Weather Station,2/03/2016 11:00:00 a. m.,43,25,75,0,0,46,0,270,38,78,9801,41,0,121,2/03/2016 11:00:00 a. m.,OakStreetWeatherStation201602031100
63rd Street Weather Station,2/03/2016 12:00:00 p. m.,37,24,81,0,0,83,0,252,73,135,9808,62,354,119,2/03/2016 12:00:00 p. m.,63rdStreetWeatherStation201602031200
Oak Street Weather Station,2/03/2016 12:00:00 p. m.,44,27,76,0,0,46,0,301,27,59,9808,38,0,121,2/03/2016 12:00:00 p. m.,OakStreetWeatherStation201602031200
63rd Street Weather Station,2/03/2016 1:00:00 p. m.,35,25,85,0,0,83,0,247,65,92,9807,40,354,119,2/03/2016 1:00:00 p. m.,63rdStreetWeatherStation201602031300
Oak Street Weather Station,2/03/2016 1:00:00 p. m.,4,28,82,0,0,46,0,270,27,74,981,44,0,119,2/03/2016 1:00:00 p. m.,OakStreetWeatherStation201602031300
63rd Street Weather Station,2/03/2016 2:00:00 p. m.,29,22,90,0,0,83,0,262,7,104,9816,38,354,119,2/03/2016 2:00:00 p. m.,63rdStreetWeatherStation201602031400
